Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
40,855,1,1,3,92,2,1,3,3392,17091,5,0,13,3,2,0,0,2,2,0,0,0,1,0
34,1283,5,2,4,66,3,1,3,7360,18137,2,0,17,3,3,1,16,0,3,15,0,5,0,0
42,1054,1,5,3,61,1,3,3,10831,15068,0,1,12,4,3,0,17,1,2,1,0,1,4,1
51,505,4,5,3,32,3,1,2,7772,13099,3,1,14,4,4,1,14,0,3,19,8,0,0,1
33,1260,1,3,4,91,2,2,4,8339,8825,1,0,17,3,4,1,15,5,1,0,0,0,0,0
33,535,5,1,2,30,3,4,3,4720,20652,4,1,21,4,4,2,16,2,3,2,1,3,7,0
51,1245,8,2,2,96,4,3,3,2056,20683,2,0,11,3,4,0,16,2,3,1,9,1,4,0
43,702,7,3,4,64,3,2,3,3914,19402,3,0,14,3,4,2,9,2,3,2,1,8,0,0
31,1458,7,5,4,53,2,2,4,4318,18941,0,1,23,4,4,1,9,0,2,1,0,0,4,1
41,867,1,2,3,94,2,2,2,3833,12143,2,0,16,3,1,0,1,1,2,16,2,1,5,0
31,826,1,4,3,31,4,1,2,5051,8379,2,0,24,3,3,3,17,0,4,1,0,0,7,0
31,648,6,2,1,70,2,3,4,6128,21748,1,0,24,4,4,0,22,2,3,5,0,1,2,0
38,805,2,5,3,68,3,2,3,7528,16349,4,0,17,3,3,1,25,5,3,0,5,2,3,0
18,1376,2,3,3,45,3,4,4,4276,13216,1,0,14,3,2,0,5,1,3,8,1,2,4,0
18,1496,1,4,3,60,3,3,2,2000,9732,1,1,21,3,3,1,0,1,1,3,3,0,3,1
30,868,1,3,3,75,3,2,4,3860,9066,1,0,12,4,3,1,15,3,4,19,2,0,3,0
25,948,1,3,1,80,4,2,1,5023,13930,3,0,13,4,2,0,2,1,4,2,0,0,2,0
